student_id,weakest_subjects,lowest_average_score
S190,"IM, OBGYN, PHYSIOLOGY",26.17
S191,"IM, MICROBIOLOGY, PHARMACOLOGY",23.6
S192,"ANATOMY, OBGYN, BIOCHEMISTRY",21.83
S193,"PHYSIOLOGY, IM, ANATOMY",21.67
S194,"PHYSIOLOGY, OBGYN, IM",21.0
S195,"PHARMACOLOGY, OBGYN, PHYSIOLOGY",22.0
S196,"PATHOLOGY, PHYSIOLOGY, ANATOMY",19.0
S197,"ANATOMY, PHARMACOLOGY, PHYSIOLOGY",29.0
S198,"PHYSIOLOGY, IM, OBGYN",27.2
S199,"PHARMACOLOGY, IM, OBGYN",23.8
S200,"SURGERY, IM, MICROBIOLOGY",23.33
S201,"SURGERY, OBGYN, PREV MED",36.75
S202,"OBGYN, PHARMACOLOGY, MICROBIOLOGY",27.83
S203,"SURGERY, OBGYN, PHARMACOLOGY",20.67
S204,"PHYSIOLOGY, SURGERY, IM",26.67
S205,"IM, MICROBIOLOGY, SURGERY",25.33
S206,"PHYSIOLOGY, SURGERY, PHARMACOLOGY",21.5
S207,"IM, PATHOLOGY, PHARMACOLOGY",20.25
S208,"SURGERY, PHYSIOLOGY, PHARMACOLOGY",21.25
S209,"PREV MED, IM, PHARMACOLOGY",16.67
S210,"MICROBIOLOGY, PATHOLOGY, PHARMACOLOGY",25.6
S211,"PHYSIOLOGY, OBGYN, LEGAL MED",14.5
S212,"ANATOMY, PATHOLOGY, MICROBIOLOGY",17.25
S213,"PHARMACOLOGY, SURGERY, PEDIA",19.5
S214,"IM, OBGYN, BIOCHEMISTRY",21.0
S215,"IM, OBGYN, SURGERY",22.5
S216,"IM, MICROBIOLOGY, PHARMACOLOGY",23.0
S217,"PATHOLOGY, SURGERY, ANATOMY",19.0
S218,"OBGYN, ANATOMY, PHYSIOLOGY",25.0
S219,"SURGERY, PHYSIOLOGY, OBGYN",25.0
S220,"SURGERY, IM, OBGYN",26.0
S221,"ANATOMY, PHARMACOLOGY, IM",26.6
S222,"PHARMACOLOGY, MICROBIOLOGY, IM",20.0
S223,"ANATOMY, PHARMACOLOGY, IM",23.67
S224,"PHYSIOLOGY, PHARMACOLOGY, BIOCHEMISTRY",28.25
S225,"IM, MICROBIOLOGY, ANATOMY",23.33
S226,"PREV MED, PHARMACOLOGY, IM",25.0
S227,"OBGYN, PREV MED, PATHOLOGY",16.5
S228,"PHYSIOLOGY, IM, OBGYN",17.0
S229,"PHYSIOLOGY, IM, ANATOMY",20.0
