student_id,ANATOMY,BIOCHEMISTRY,PHYSIOLOGY,PATHOLOGY,MICROBIOLOGY,PHARMACOLOGY,IM,SURGERY,PEDIA,OBGYN,PREV MED,LEGAL MED
S129,,,,,,,,,,,,
S130,14.0,12.0,19.0,15.0,20.0,12.0,24.0,10.0,16.0,12.0,25.0,21.0
S131,9.0,26.0,21.0,16.0,18.0,17.0,21.0,15.0,21.0,10.0,20.0,25.0
S132,26.333333333333332,36.0,20.0,23.0,23.666666666666668,20.666666666666668,21.0,27.0,25.333333333333332,35.666666666666664,27.666666666666668,33.333333333333336
S133,20.25,29.5,15.666666666666666,25.666666666666668,25.5,24.25,20.5,24.5,27.333333333333332,24.333333333333332,21.75,28.5
S134,16.75,20.25,16.5,15.25,18.75,15.25,15.666666666666666,14.0,16.0,17.75,19.25,24.25
S135,17.75,23.75,13.25,19.5,14.666666666666666,21.5,21.6,16.6,22.0,19.0,26.75,30.25
S136,23.5,28.333333333333332,22.0,23.6,14.666666666666666,20.2,18.0,18.666666666666668,23.4,28.833333333333332,23.0,27.333333333333332
S137,24.5,31.333333333333332,31.4,30.75,29.25,33.5,25.5,25.666666666666668,29.0,20.0,27.333333333333332,28.5
S138,21.4,22.8,23.4,22.2,22.2,20.2,20.666666666666668,21.666666666666668,18.666666666666668,19.5,21.833333333333332,22.5
S139,23.0,28.0,22.2,23.2,23.0,17.6,19.166666666666668,19.333333333333332,20.6,24.666666666666668,23.6,32.8
S140,25.166666666666668,23.333333333333332,28.8,26.0,21.2,24.6,25.333333333333332,24.0,27.5,24.166666666666668,27.333333333333332,29.666666666666668
S141,31.8,39.6,24.6,26.0,32.6,26.5,31.0,27.666666666666668,29.2,30.0,30.666666666666668,34.5
S142,14.5,24.25,17.0,24.0,22.333333333333332,13.333333333333334,29.5,30.833333333333332,30.833333333333332,26.666666666666668,34.8,35.0
